ID,Warehouse_block,Mode_of_Shipment,Customer_care_calls,Customer_rating,Cost_of_the_Product,Prior_purchases,Product_importance,Gender,Discount_offered,Weight_in_gms,Reached.on.Time_Y.N,Product_category,Length_cm,Width_cm,Height_cm,Fragile,Liquid_Leak_Prone,Perishable,Shipping_distance,Stacking_pressure,Delivery_urgency,Budget_level,Eco_preference,Material_constraint,Return_risk,recommended_packaging
1,D,Flight,4,2,177,3,low,F,44,1233,1,clothing,48,26,38,1,0,1,international,1,express,medium,balanced,no_plastic,0,Insulated Compostable Food Pack
2,F,Flight,4,5,216,2,low,M,59,3088,1,clothing,11,46,19,1,1,1,local,0,express,high,balanced,only_recyclable,1,Leak-proof Compostable Container
3,A,Flight,2,2,183,4,low,M,48,3374,1,cosmetics,31,35,10,0,1,0,international,0,express,medium,max_sustainability,compostable_only,1,Leak-proof Compostable Container
4,B,Flight,3,3,176,4,medium,M,10,1177,1,books,50,23,31,1,0,0,domestic,0,express,high,balanced,no_restrictions,1,Molded Pulp Tray + Corrugated Box
5,C,Flight,2,2,184,3,medium,F,46,2484,1,clothing,22,8,31,1,1,0,local,0,standard,low,low_cost,compostable_only,0,Leak-proof Compostable Container
6,F,Flight,3,1,162,3,medium,F,12,1417,1,clothing,7,8,37,0,1,1,international,0,express,high,low_cost,no_restrictions,1,Leak-proof Compostable Container
7,D,Flight,3,4,250,3,low,F,3,2371,1,electronics,26,39,14,0,1,0,domestic,0,standard,low,balanced,compostable_only,1,Leak-proof Compostable Container
8,F,Flight,4,1,233,2,low,F,48,2804,1,glass_items,17,37,29,0,0,1,local,0,standard,high,low_cost,no_restrictions,1,Insulated Compostable Food Pack
9,A,Flight,3,4,150,3,low,F,11,1861,1,electronics,34,46,31,1,0,0,international,0,express,medium,low_cost,no_plastic,0,Molded Pulp Tray + Corrugated Box
10,B,Flight,3,2,164,3,medium,F,29,1187,1,books,38,31,32,0,0,0,domestic,1,express,high,max_sustainability,only_recyclable,1,Recycled Cardboard Box
11,C,Flight,3,4,189,2,medium,M,12,2888,1,glass_items,26,10,25,1,0,1,domestic,0,standard,low,max_sustainability,compostable_only,0,Insulated Compostable Food Pack
